Y,umur_krt,jumlah_art,luas_lantai,jk_krt,status_kawin_krt,pendidikan_krt,pekerjaan_krt,keluhan_kesehatan,internet_krt,usaha_mikro,bansos,wilayah,status_bangunan,jenis_lantai,jenis_dinding,jenis_atap,sumber_air,penerangan,bahan_bakar,motor,laptop,kabupaten
1,45,2,84,1,2,13,8,1,1,1,5,2,1,6,1,2,9,1,3,1,5,1
1,39,2,81,1,2,3,3,1,1,5,5,2,1,6,1,3,9,1,7,1,5,1
0,34,1,180,2,2,3,3,1,1,5,5,2,1,6,1,3,9,2,4,1,5,1
0,49,1,135,1,2,18,21,5,1,5,5,2,1,6,1,3,2,1,4,1,1,1
0,43,1,180,1,2,13,2,5,1,1,5,2,1,2,1,3,3,1,4,1,1,1
0,55,1,100,1,2,13,2,5,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,63,1,24,1,2,3,2,1,1,5,5,2,1,2,1,3,7,1,4,1,5,1
1,58,1,63,1,2,8,2,5,1,5,1,2,1,6,1,3,3,1,4,1,5,1
0,47,1,112,1,2,8,2,1,1,5,5,2,1,6,1,3,7,1,4,1,5,1
1,36,1,18,1,2,3,2,5,1,5,5,2,4,6,1,3,7,2,4,1,5,1
0,50,1,54,1,2,8,2,5,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,73,1,63,1,2,3,2,1,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,47,1,180,1,2,8,12,5,1,1,5,2,1,2,1,3,7,1,4,1,5,1
0,63,2,72,1,2,13,12,1,1,5,5,2,1,6,1,3,2,1,4,1,5,1
1,46,2,80,1,4,8,11,5,1,5,5,2,1,6,1,3,2,1,4,1,5,1
0,57,1,86,1,2,15,3,5,1,5,5,2,1,6,1,3,9,1,10,1,5,1
1,49,1,30,1,2,8,3,5,1,5,5,2,1,6,3,3,9,1,10,1,5,1
0,35,1,20,1,2,8,11,5,1,5,5,2,1,8,3,3,9,1,4,1,5,1
0,41,1,25,1,2,8,11,1,1,5,5,2,3,6,1,3,9,1,4,1,5,1
0,60,2,79,1,2,3,3,1,1,5,5,2,1,6,1,3,9,1,10,1,5,1
1,28,1,30,1,2,13,11,1,1,5,5,2,1,6,1,3,2,1,4,1,5,1
0,52,2,120,2,3,3,12,5,1,1,5,2,1,6,1,3,8,1,4,1,5,1
1,52,2,48,1,2,8,12,1,1,5,5,2,1,2,1,3,9,1,4,1,5,1
0,46,1,84,1,2,15,3,1,1,1,1,2,1,6,3,3,9,1,4,1,5,1
0,59,1,96,1,2,8,2,1,2,1,5,2,1,6,1,3,9,1,4,1,5,1
